ID,检测事件,记录时间,地点位置,是否异常,前/后摄
1,未佩戴安全帽,2026-08-11 17:16:23,一号摄像头,是,前摄
2,未佩戴安全帽,2026-08-11 17:16:33,一号摄像头,是,前摄
3,未佩戴安全帽,2026-08-11 17:16:43,一号摄像头,是,前摄
4,未佩戴安全帽,2026-08-11 19:17:00,一号摄像头,是,前摄
5,未佩戴安全帽,2026-08-11 19:17:10,一号摄像头,是,前摄
6,未佩戴安全帽,2026-08-11 19:35:50,一号摄像头,是,前摄
7,未佩戴安全帽,2026-08-11 19:36:01,一号摄像头,是,前摄
8,未佩戴安全帽,2026-08-12 14:24:07,一号摄像头,是,前摄
9,未佩戴安全帽,2026-08-12 14:24:30,一号摄像头,是,前摄
10,未佩戴安全帽,2026-08-12 15:21:18,一号摄像头,是,前摄
11,未佩戴安全帽,2026-08-12 15:21:28,一号摄像头,是,前摄
12,未佩戴安全帽,2026-08-12 15:21:38,一号摄像头,是,前摄
13,未佩戴安全帽,2026-08-12 20:22:24,一号摄像头,是,前摄
14,未佩戴安全帽,2026-08-12 20:23:02,一号摄像头,是,前摄
15,未佩戴安全帽,2026-08-12 20:23:12,一号摄像头,是,前摄
16,未佩戴安全帽,2026-08-12 20:23:22,一号摄像头,是,前摄
17,未佩戴安全帽,2026-08-12 20:23:32,一号摄像头,是,前摄
18,未佩戴安全帽,2026-08-12 20:25:47,一号摄像头,是,前摄
19,未佩戴安全帽,2026-08-12 20:26:00,一号摄像头,是,前摄
20,未佩戴安全帽,2026-08-12 20:26:10,一号摄像头,是,前摄
21,未佩戴安全帽,2026-08-12 20:29:22,一号摄像头,是,前摄
22,未佩戴安全帽,2026-08-12 20:29:32,一号摄像头,是,前摄
23,未佩戴安全帽,2026-08-12 20:29:42,一号摄像头,是,前摄
24,未佩戴安全帽,2026-08-12 20:29:52,一号摄像头,是,前摄
25,未佩戴安全帽,2026-08-12 20:30:02,一号摄像头,是,前摄
26,未佩戴安全帽,2026-08-12 20:30:12,一号摄像头,是,前摄
27,未佩戴安全帽,2026-08-12 20:30:22,一号摄像头,是,前摄
28,未佩戴安全帽,2026-08-12 20:30:32,一号摄像头,是,前摄
29,未佩戴安全帽,2026-08-12 20:30:42,一号摄像头,是,前摄
30,未佩戴安全帽,2026-08-12 20:36:54,一号摄像头,是,前摄
31,未佩戴安全帽,2026-08-12 20:37:04,一号摄像头,是,前摄
32,未佩戴安全帽,2026-08-12 20:37:38,一号摄像头,是,前摄
33,未佩戴安全帽,2026-08-12 20:37:48,一号摄像头,是,前摄
34,未佩戴安全帽,2026-08-12 20:37:58,一号摄像头,是,前摄
35,未佩戴安全帽,2026-08-12 20:39:18,一号摄像头,是,前摄
36,未佩戴安全帽,2026-08-12 20:39:28,一号摄像头,是,前摄
37,未佩戴安全帽,2026-08-12 20:39:38,一号摄像头,是,前摄
38,未佩戴安全帽,2026-08-12 20:39:48,一号摄像头,是,前摄
39,未佩戴安全帽,2026-08-12 20:51:39,一号摄像头,是,前摄
40,未佩戴安全帽,2026-08-12 20:51:49,一号摄像头,是,前摄
41,未佩戴安全帽,2026-08-12 21:03:58,一号摄像头,是,前摄
41,未佩戴安全帽,2026-08-12 21:04:02,一号摄像头,是,前摄
42,未佩戴安全帽,2026-08-12 21:04:08,一号摄像头,是,前摄
42,未佩戴安全帽,2026-08-12 21:04:12,一号摄像头,是,前摄
43,未佩戴安全帽,2026-08-12 21:04:18,一号摄像头,是,前摄
43,未佩戴安全帽,2026-08-12 21:04:22,一号摄像头,是,前摄
44,未佩戴安全帽,2026-08-12 21:04:32,一号摄像头,是,前摄
45,未佩戴安全帽,2026-08-12 21:04:48,一号摄像头,是,前摄
46,未佩戴安全帽,2026-08-12 21:04:58,一号摄像头,是,前摄
47,未佩戴安全帽,2026-08-12 21:05:08,一号摄像头,是,前摄
48,未佩戴安全帽,2026-08-12 21:05:22,一号摄像头,是,前摄
49,未佩戴安全帽,2026-08-12 21:05:32,一号摄像头,是,前摄
50,未佩戴安全帽,2026-08-12 21:06:12,一号摄像头,是,前摄
51,未佩戴安全帽,2026-08-12 21:06:22,一号摄像头,是,前摄
52,未佩戴安全帽,2026-08-12 21:06:32,一号摄像头,是,前摄
52,未佩戴安全帽,2026-08-12 21:06:32,一号摄像头,是,前摄
53,未佩戴安全帽,2026-08-12 21:06:42,一号摄像头,是,前摄
53,未佩戴安全帽,2026-08-12 21:06:42,一号摄像头,是,前摄
54,未佩戴安全帽,2026-08-12 21:06:52,一号摄像头,是,前摄
54,未佩戴安全帽,2026-08-12 21:06:52,一号摄像头,是,前摄
55,未佩戴安全帽,2026-08-12 21:10:41,一号摄像头,是,前摄
56,未佩戴安全帽,2026-08-12 21:10:51,一号摄像头,是,前摄
57,未佩戴安全帽,2026-08-12 21:14:16,一号摄像头,是,前摄
58,未佩戴安全帽,2026-08-12 21:14:26,一号摄像头,是,前摄
59,未佩戴安全帽,2026-08-12 21:22:53,cam01,是,前摄
