ID,time,objects,location,abnormal,现场已告警,短信通知,event,camera_type
1,2026-08-10 14:37:19,未检测到目标,一号摄像头,否,否,否,,前摄
2,2026-08-10 14:37:20,未检测到目标,一号摄像头,否,否,否,,前摄
3,2026-08-10 14:37:21,未检测到目标,一号摄像头,否,否,否,,前摄
4,2026-08-10 14:37:22,未检测到目标,一号摄像头,否,否,否,,前摄
5,2026-08-10 14:37:23,未检测到目标,一号摄像头,否,否,否,,前摄
6,2026-08-11 16:40:49,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
7,2026-08-11 16:40:50,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
8,2026-08-11 16:40:51,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
9,2026-08-11 16:40:53,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
10,2026-08-11 16:40:54,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
11,2026-08-11 16:40:55,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
12,2026-08-11 16:40:56,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
13,2026-08-11 16:40:57,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
14,2026-08-11 16:40:58,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
15,2026-08-11 16:40:59,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
16,2026-08-11 16:41:00,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
17,2026-08-11 16:41:01,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
18,2026-08-11 16:41:02,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
19,2026-08-11 16:41:03,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
20,2026-08-11 16:41:04,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
21,2026-08-11 16:41:05,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
22,2026-08-11 16:41:06,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
23,2026-08-11 16:41:07,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
24,2026-08-11 16:41:08,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
25,2026-08-11 16:41:09,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
26,2026-08-11 16:41:10,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
27,2026-08-11 16:41:10,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
28,2026-08-11 16:41:12,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
29,2026-08-11 16:41:13,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
30,2026-08-11 17:16:23,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
31,2026-08-11 17:16:34,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
32,2026-08-11 17:16:44,1人,一号摄像头,是,否,否,未佩戴安全帽,前摄
33,2026-08-11 19:17:01,1chair,一号摄像头,是,否,否,未佩戴安全帽,前摄
33.1,,2人,,,,,,
34,2026-08-11 19:17:11,1chair,一号摄像头,是,否,否,未佩戴安全帽,前摄
34.1,,3人,,,,,,
34.2,,1tv,,,,,,
35,2026-08-11 19:35:51,4chair,一号摄像头,是,否,否,未佩戴安全帽,前摄
35.1,,1人,,,,,,
36,2026-08-11 19:36:01,1chair,一号摄像头,是,否,否,未佩戴安全帽,前摄
36.1,,1cup,,,,,,
36.2,,2laptop,,,,,,
36.3,,1人,,,,,,
